CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION
073e33157a4e5c8568783043ac1322ecdc4cef077d3f5d2f98f458f434ba4f79d2256bb2a705f6c2ad8f87121eca33872a6354d4cbf409b16cd9fa7e6f24be46,,6/17/2018 20:35,30,NO CONTROLS,NO CONTROLS,CLEAR,DARKNESS,PARKED MOTOR VEHICLE,DRIVEWAY,1,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",6/17/2018 20:47,IMPROPER BACKING,UNABLE TO DETERMINE,8040,S,BRANDON AVE,422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,20,1,6,41.74895526,-87.54692643,POINT (-87.546926424991 41.748955254974)
25d339286406f038eea32898870bfdc073f0b309eec9482e8c3c963377e452d7b02fb96472cf22f7dad9ce234d963203df49f764fff16615910badc35364e9cc,,11/18/2022 9:30,30,NO CONTROLS,NO CONTROLS,BLOWING SNOW,DAYLIGHT,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/18/2022 11:37,NOT APPLICABLE,NOT APPLICABLE,3003,E,80TH ST,422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,9,6,11,41.75000405,-87.55137517,POINT (-87.551375168976 41.750004046992)
54de9e61f825a2f1a12351c811e3262d26c17b65eb641bb50b172fe345960cfce94afef87a9cf10d82e21cf2ef964aebef80845a01fdc000184e3014721d8781,,6/1/2016 19:15,25,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,SIDESWIPE SAME DIRECTION,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",6/2/2016 10:00,IMPROPER LANE USAGE,UNABLE TO DETERMINE,2459,E,79TH ST,422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,19,4,6,41.75165329,-87.56386511,POINT (-87.563865109983 41.751653287983)
86fdd39a56d03c4dd4303138221b3a00ffb772b9e108cf9042f8e31519a2beb11893f2e9a2f45d1d654dc779230ac1d46c8fa2fe32bcde5ac0d4420843438aa5,,5/27/2018 1:28,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,NOT DIVIDED,2,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,$500 OR LESS,5/27/2018 1:28,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),2943,E,80TH ST,422,,,,,,,2,INCAPACITATING INJURY,1,0,1,0,0,2,0,1,1,5,41.74999102,-87.55238432,POINT (-87.552384323001 41.74999102095)
985b720b3e5dcb409969333516c44b67f6412101c49aebb01d4f81db3a9c89be13cd9a8acb0253650828ea73f98ff54c09ef538f36ee623858323271cf25c970,,4/17/2022 15:00,30,STOP SIGN/FLASHER,FUNCTIONING PROPERLY,CLEAR,DAYLIGHT,ANGLE,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",4/22/2022 11:00,DISREGARDING STOP SIGN,FAILING TO YIELD RIGHT-OF-WAY,8100,S,PHILLIPS AVE,422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,6,0,15,1,4,41.74804343,-87.56510974,POINT (-87.565109737995 41.74804343103)
99c21ef6b3b89cb2370359571d13a572e05a7bcdf41b1b67b62a62845d97f14dad016a738ce4a2b4834700e0fc9694b7da14c4c2c31183ac0e94097ab199f4f6,,6/26/2016 19:20,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,REAR END,ONE-WAY,3,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),INJURY AND / OR TOW DUE TO CRASH,,,,"$501 - $1,500",6/26/2016 19:58,FOLLOWING TOO CLOSELY,FAILING TO REDUCE SPEED TO AVOID CRASH,237,S,CLARK ST,113,,,,,,,2,NONINCAPACITATING INJURY,2,0,0,2,0,3,0,19,1,6,41.87844992,-87.63064666,POINT (-87.630646659034 41.878449919993)
a6bbde82eebf5163cce8cf65632c3fdcb9820a2415e5dce32ccbdf62f2505f11c5e279ba44e471af49d49346a3569759658f7901aa9f201dd1a50afca1cb6884,,4/12/2023 9:50,30,NO CONTROLS,NO CONTROLS,RAIN,DAYLIGHT,ANGLE,ONE-WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,Y,"OVER $1,500",4/19/2023 11:30,FAILING TO YIELD RIGHT-OF-WAY,NOT APPLICABLE,7907,S,KINGSTON AVE,422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,2,0,9,4,4,41.75152319,-87.56244539,POINT (-87.562445391 41.751523188987)
a6039ac1898db36891048d6bceb6c3e9e136299d0e1ee0b9569f523903537312a0e60e447dde05d150efa46f763dc8d332cf97f8cc02f64d8a847c37d901dd3f,,7/8/2022 23:00,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,ONE-WAY,,STRAIGHT AND LEVEL,DRY,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",7/9/2022 0:30,NOT APPLICABLE,NOT APPLICABLE,20,W,VAN BUREN ST,113,,,,,,,1,NO INDICATION OF INJURY,0,0,0,0,0,1,0,23,6,7,41.87702018,-87.62838566,POINT (-87.628385656007 41.877020184037)
ba40727f7722fa278e50e87902955ff99284b2e17c5281e49233642cc9708c5ea097f33df2504d8dd540483a2b4f9552a13d8c5ddde3c2feaa016cc3999356d9,Y,11/7/2017 12:00,30,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,DIVIDED - W/MEDIAN (NOT RAISED),4,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",11/7/2017 14:22,UNABLE TO DETERMINE,UNABLE TO DETERMINE,217,S,WABASH AVE,113,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,12,3,11,41.87909308,-87.6259632,POINT (-87.625963199017 41.879093079955)
c4bd76623e4970439165e9e76e0d050ff6f17361785b903e3610a7c8f539c93d9908a3e654bc11e6c014d0c70943a092107055e3004543a224d3579607d037ff,,8/17/2018 10:00,25,NO CONTROLS,NO CONTROLS,CLEAR,DAYLIGHT,PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",8/20/2018 14:47,"OPERATING VEHICLE IN ERRATIC, RECKLESS, CARELESS, NEGLIGENT OR AGGRESSIVE MANNER",UNABLE TO DETERMINE,2943,E,80TH ST,422,,,,,,,2,NO INDICATION OF INJURY,0,0,0,0,0,1,0,10,6,8,41.74999102,-87.55238432,POINT (-87.552384323001 41.74999102095)
